Cluster	sample	Change	ID	Description	GeneRatio	BgRatio	pvalue	FDR	qvalue	geneID	Count
Gpdh_Ldh.upregulated	Gpdh_Ldh	upregulated	D018149	Glucose Intolerance	75/619	404/12262	1.53509795009385e-23	3.25440765419895e-21	2.81165308754031e-21	36186/36481/37086/36883/39092/32709/41135/39463/37057/3346221/40067/36434/36666/31854/3772449/40611/41661/43246/5740130/40267/33250/317997/117462/47901/37392/38619/40200/31532/34219/37624/37059/37106/40210/39677/49080/36101/37625/33590/40976/35706/43496/38383/43066/34297/41169/38386/33229/39462/39949/43601/48341/35687/33312/36183/49815/42482/50305/41410/37052/38952/35710/38683/37420/43612/38680/318567/38684/33511/48335/35862/36006/43621/38462/41586/32127	75
Gpdh_Ldh.upregulated	Gpdh_Ldh	upregulated	D003924	Diabetes Mellitus, Type 2	78/619	459/12262	5.98367193716333e-22	6.34269225339313e-20	5.47978377403379e-20	36186/36481/37086/36883/39092/32709/41135/39463/37057/3346221/40067/36434/39151/36666/31854/3772449/40611/41661/43246/5740130/40267/33250/33569/317997/117462/47901/37392/38619/40200/31532/34219/37624/37059/37106/40210/39677/49080/36101/37625/33590/40976/35706/43496/38383/43066/34297/41169/38386/33229/39462/39949/43601/48341/35687/33312/36183/49815/42482/50305/41410/37052/38952/35710/38683/37420/43612/38680/318567/38684/33511/48335/42549/35862/36006/43621/38462/41586/32127	78
Gpdh_Ldh.upregulated	Gpdh_Ldh	upregulated	D018354	Alphavirus Infections	25/619	91/12262	1.62158081927349e-12	1.1459171122866e-10	9.90017763345919e-11	43677/41135/37183/36636/53543/36434/36637/36484/42122/35834/317997/43597/38107/33073/43561/43599/36994/38310/41169/38386/37058/36511/38452/3346149/35946	25
Gpdh_Ldh.upregulated	Gpdh_Ldh	upregulated	D018805	Sepsis	27/619	124/12262	7.78216562425737e-11	4.12454778085641e-09	3.56341268058101e-09	50206/37183/34291/36636/36434/36637/36484/36433/42122/32835/36635/33569/35834/43597/38107/43599/34227/37059/38386/33229/43601/35687/35837/3346149/41490/35862/33593	27
Gpdh_Ldh.upregulated	Gpdh_Ldh	upregulated	D016905	Gram-Negative Bacterial Infections	37/619	233/12262	4.44939306259497e-10	1.88654265854027e-08	1.62988293240321e-08	42119/39246/40417/40418/36883/37183/36437/36636/39248/36637/36484/42122/32951/37276/36635/33569/317997/117462/38293/318943/43597/48338/37421/43599/41169/37578/48341/42528/36183/3346149/36391/2768679/35050/41453/40816/34445/33593	37
Gpdh_Ldh.upregulated	Gpdh_Ldh	upregulated	D004756	Enterobacteriaceae Infections	39/619	298/12262	4.12204801092523e-08	1.42587649981546e-06	1.23188932953272e-06	37183/36636/53543/33439/35543/36637/36484/42122/39959/36635/5740656/36266/41574/117462/41643/43597/43037/38753/43599/34226/39008/43036/41169/31529/33229/5740622/34176/3346149/49808/41490/38952/41033/38683/43612/38684/34445/36764/35862/43621	39
Gpdh_Ldh.upregulated	Gpdh_Ldh	upregulated	D011552	Pseudomonas Infections	29/619	185/12262	4.70808278240955e-08	1.42587649981546e-06	1.23188932953272e-06	37183/36636/36637/48316/36635/33839/36316/33569/39179/41643/43597/48338/47901/48339/38619/43599/36582/40210/34226/43036/41169/3346149/2768679/38684/33474/34445/42549/35862/37729	29
Gpdh_Ldh.upregulated	Gpdh_Ldh	upregulated	D064806	Dysbiosis	13/619	56/12262	3.09162975206806e-06	8.19281884298037e-05	7.07820495868215e-05	37183/36636/36637/36666/42122/33569/34669/48341/48337/3346149/48335/42549/35862	13
Gpdh_Ldh.upregulated	Gpdh_Ldh	upregulated	D063647	Fetal Alcohol Spectrum Disorders	10/619	38/12262	1.30663727987121e-05	0.000301140248023724	0.000260170820040357	318189/34291/31551/43252/326238/42796/48341/48337/43612/42549	10
Gpdh_Ldh.upregulated	Gpdh_Ldh	upregulated	D060467	Disease Resistance	35/619	321/12262	1.42047286803643e-05	0.000301140248023724	0.000260170820040357	39356/36883/37183/36636/36484/41914/36635/41574/117462/42293/43597/317841/38753/38107/37421/38543/36475/42774/43601/43259/35218/31594/3346149/39991/2768679/35246/38684/43328/35862/318682/37582/40019/43551/318000/41473	35
Gpdh_Ldh.upregulated	Gpdh_Ldh	upregulated	D014406	Tularemia	6/619	16/12262	8.37054804562802e-05	0.00161323289606649	0.00139375632530074	37183/36484/42122/36635/43597/43599	6
Gpdh_Ldh.upregulated	Gpdh_Ldh	upregulated	D020191	Myoclonic Epilepsies, Progressive	21/619	186/12262	0.000456562578777352	0.00806593889173322	0.00696858672870696	41135/36484/34053/38633/40471/39352/43451/40200/31532/43036/32146/5740501/34144/39390/40575/35246/39793/2768666/34289/32001/36255	21
Gpdh_Ldh.upregulated	Gpdh_Ldh	upregulated	D009164	Mycobacterium Infections	6/619	24/12262	0.000995287438315524	0.0162308413017609	0.014022673219992	37183/36636/36637/36635/43597/34087	6
Gpdh_Ldh.upregulated	Gpdh_Ldh	upregulated	D004266	DNA Virus Infections	7/619	35/12262	0.00157583239788313	0.0238626048822303	0.0206161531753131	41135/37183/36636/36484/41169/37058/3346149	7
Gpdh_Ldh.upregulated	Gpdh_Ldh	upregulated	D016908	Gram-Positive Bacterial Infections	16/619	141/12262	0.00198883586736819	0.0281088802588037	0.0242847326962853	50206/37183/36636/36637/36666/36484/42122/43201/117462/42522/43599/3346149/2768679/38702/326130/38680	16
Gpdh_Ldh.upregulated	Gpdh_Ldh	upregulated	D002771	Cholera	5/619	21/12262	0.00334193631005867	0.0442806561082773	0.0382563761809347	37183/36636/36635/43597/43059	5
Gpdh_Ldh.upregulated	Gpdh_Ldh	upregulated	D000014	Abnormalities, Drug-Induced	11/619	86/12262	0.00387167158566763	0.0482820221271492	0.0417133656907843	34291/31299/36484/33569/36352/117462/35819/42558/31298/31300/38826	11
Ldh.downregulated	Ldh	downregulated	D018149	Glucose Intolerance	5/20	404/12262	0.000389851176943366	0.0160805881672386	0.0117752590698315	36366/34088/37469/40067/41410	5
Ldh.downregulated	Ldh	downregulated	D003924	Diabetes Mellitus, Type 2	5/20	459/12262	0.000699156007271246	0.0160805881672386	0.0117752590698315	36366/34088/37469/40067/41410	5
Ldh.downregulated	Ldh	downregulated	D004756	Enterobacteriaceae Infections	4/20	298/12262	0.00121759598366537	0.0186698050828689	0.0136712531499269	36366/39015/53543/36635	4
Ldh.upregulated	Ldh	upregulated	D018149	Glucose Intolerance	38/127	404/12262	2.07568431854735e-26	1.20389690475747e-24	1.07061612219811e-24	36751/40069/34204/34206/34203/37392/34205/31854/37624/43545/37222/38684/37057/39462/43622/43246/33706/41111/43621/326160/39125/35285/37625/35862/34297/42482/3346221/19836250/43612/42319/43249/246412/38619/36217/31909/2768939/40119/42068	38
Ldh.upregulated	Ldh	upregulated	D003924	Diabetes Mellitus, Type 2	38/127	459/12262	2.21074856041544e-24	6.41117082520477e-23	5.70140418212403e-23	36751/40069/34204/34206/34203/37392/34205/31854/37624/43545/37222/38684/37057/39462/43622/43246/33706/41111/43621/326160/39125/35285/37625/35862/34297/42482/3346221/19836250/43612/42319/43249/246412/38619/36217/31909/2768939/40119/42068	38
Ldh.upregulated	Ldh	upregulated	D004756	Enterobacteriaceae Infections	11/127	298/12262	0.000264794531266826	0.0051193609378253	0.00455260773055245	34203/43545/38684/43622/43621/35862/36249/35853/43612/42336/53584	11
Ldh.upregulated	Ldh	upregulated	D063647	Fetal Alcohol Spectrum Disorders	4/127	38/12262	0.000616811442568413	0.00894376591724198	0.00795362123311901	42796/43612/43249/35587	4
Ldh.upregulated	Ldh	upregulated	D028361	Mitochondrial Diseases	12/127	441/12262	0.00206071489592761	0.0239042927927603	0.0212579010316743	40069/34206/34203/34205/31854/35285/35372/38632/3885569/43612/35587/34652	12
