Gene stable ID	Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene type
FBgn0266203	lncRNA:CR44898	2L	1380083	1381326	-1	ncRNA
FBgn0051677	CG31677	2L	20603535	20604196	-1	protein_coding
FBgn0032296	CG6729	2L	10740782	10743935	-1	protein_coding
FBgn0267390	dop	3L	15566013	15576313	1	protein_coding
FBgn0261501	CG42649	2R	17599389	17599607	-1	protein_coding
FBgn0082980	snoRNA:Psi28S-2996	2L	22535458	22535593	-1	snoRNA
FBgn0261624	I-3	X	20881814	20882626	-1	protein_coding
FBgn0083973	dunk	2L	22151623	22152640	1	protein_coding
FBgn0032054	Uba4	2L	8517411	8519176	1	protein_coding
FBgn0052344	CG32344	3L	321233	324720	-1	protein_coding
FBgn0267645	lncRNA:CR45983	3L	4744950	4745310	1	ncRNA
FBgn0267710	lncRNA:CR46043	3R	20238507	20239091	-1	ncRNA
FBgn0011740	alpha-Man-IIa	3R	9412548	9417264	1	protein_coding
FBgn0031972	Wwox	2L	7999670	8004286	-1	protein_coding
FBgn0038233	HtrA2	3R	14509049	14511712	-1	protein_coding
FBgn0260959	MCPH1	2R	11895997	11903918	-1	protein_coding
FBgn0032313	CG14070	2L	10900501	10901785	-1	protein_coding
FBgn0024320	Npc1a	2L	10213812	10221216	-1	protein_coding
FBgn0050349	CG30349	2R	8907518	8910885	1	protein_coding
FBgn0032251	Nse4	2L	10439440	10441047	1	protein_coding
FBgn0266624	asRNA:CR45131	2R	7631495	7635219	-1	ncRNA
FBgn0037231	Vps24	3R	4307435	4310947	-1	protein_coding
FBgn0036591	CG13050	3L	16278458	16279271	-1	protein_coding
FBgn0265509	lncRNA:CR44371	2R	15330395	15331195	-1	ncRNA
FBgn0052461	CG32461	3L	22954421	22955302	-1	protein_coding
FBgn0030057	Ppt1	X	8688627	8690227	-1	protein_coding
FBgn0034246	Dcr-2	2R	17574979	17581525	-1	protein_coding
FBgn0262877	CG43232	2L	6932121	6932954	1	protein_coding
FBgn0036483	CG12316	3L	15131508	15136934	-1	protein_coding
FBgn0002873	mud	X	14247732	14258595	1	protein_coding
FBgn0026869	Thd1	4	538332	557854	-1	protein_coding
FBgn0035986	CG4022	3L	9406179	9410832	-1	protein_coding
FBgn0040285	Scamp	X	15446179	15449883	-1	protein_coding
FBgn0051631	tRNA:Arg-CCT-1-1	2L	6799744	6799816	1	tRNA
FBgn0033339	Sec31	2R	8893613	8898798	1	protein_coding
FBgn0031343	CG18131	2L	1498455	1500608	-1	protein_coding
FBgn0034871	CG3906	2R	23511286	23512225	-1	protein_coding
FBgn0032020	strat	2L	8320328	8321285	1	protein_coding
FBgn0001254	ImpE2	3L	3510974	3512681	-1	protein_coding
FBgn0267881	CR46169	Y	3134941	3135206	1	pseudogene
FBgn0014949	btn	3R	22586149	22586625	-1	protein_coding
FBgn0263110	CG43367	3L	4193993	4224003	1	protein_coding
FBgn0052440	CG32440	3L	21360179	21361229	1	protein_coding
FBgn0267224	lncRNA:CR45664	3L	16319440	16319931	-1	ncRNA
FBgn0286198	LKRSDH	2L	7791175	7795959	-1	protein_coding
FBgn0019936	RpS20	3R	20822181	20823356	1	protein_coding
FBgn0036979	CG13247	3L	20370313	20371746	1	protein_coding
FBgn0085810	CR41597	3L	24553110	24554200	1	pseudogene
FBgn0035213	CG2199	3L	1339460	1342403	-1	protein_coding
FBgn0267201	lncRNA:CR45641	3R	16214278	16214957	1	ncRNA
FBgn0037005	CG5078	3L	20506032	20507375	1	protein_coding
FBgn0051514	asRNA:CR31514	3R	9779519	9782693	-1	ncRNA
FBgn0261841	pre-mod(mdg4)-AD	3R	21365609	21368279	1	protein_coding
FBgn0037359	MED27	3R	5655139	5656336	1	protein_coding
FBgn0032782	Rab9	2L	19432574	19435841	1	protein_coding
FBgn0039770	CG15537	3R	30435177	30443599	-1	protein_coding
FBgn0265070	asRNA:CR44181	2L	10695058	10698195	1	ncRNA
FBgn0038069	CG11608	3R	12638481	12640033	1	protein_coding
FBgn0033179	p47	2R	7465018	7466759	-1	protein_coding
FBgn0003356	Jon99Cii	3R	29923754	29924615	-1	protein_coding
FBgn0032228	CG5367	2L	10354743	10356597	-1	protein_coding
FBgn0260955	CG42587	2L	14744845	14745210	-1	protein_coding
FBgn0031857	LUBEL	2L	6759829	6772755	-1	protein_coding
FBgn0004108	Nrt	3L	16766072	16777465	1	protein_coding
FBgn0037824	CG14684	3R	10706974	10707460	1	protein_coding
FBgn0031655	Marcal1	2L	4955509	4958292	1	protein_coding
FBgn0036294	CG10654	3L	12505374	12507840	-1	protein_coding
FBgn0028644	beat-Ic	2L	16000291	16041703	1	protein_coding
FBgn0261857	CR42786	3R	20734748	20735323	1	pseudogene
FBgn0010441	pll	3R	27251131	27253182	-1	protein_coding
FBgn0039099	GILT2	3R	23678895	23679855	1	protein_coding
FBgn0035237	CG13917	3L	1576699	1600845	1	protein_coding
FBgn0038132	CG15887	3R	13287655	13288813	-1	protein_coding
FBgn0038659	EndoA	3R	18906609	18910755	1	protein_coding
FBgn0038316	CG6276	3R	15318203	15320069	-1	protein_coding
FBgn0265586	lncRNA:CR44413	2L	17625098	17625690	-1	ncRNA
FBgn0030390	CG15731	X	12456409	12457763	-1	protein_coding
FBgn0263559	mir-2535b	X	21298275	21298345	-1	pre_miRNA
FBgn0030905	CG15059	X	18258551	18259517	-1	protein_coding
FBgn0038941	CG7080	3R	22329300	22330546	1	protein_coding
FBgn0036532	CG13445	3L	15809485	15809977	1	protein_coding
FBgn0034745	CG4329	2R	22609334	22613376	-1	protein_coding
FBgn0034774	CG13526	2R	22755219	22755896	1	protein_coding
FBgn0285954	caz	X	16288810	16293520	1	protein_coding
FBgn0038816	Lrrk	3R	20635480	20644279	1	protein_coding
FBgn0033638	CG9005	2R	11619479	11640941	-1	protein_coding
FBgn0031564	CG2816	2L	3703659	3704253	1	protein_coding
FBgn0261807	CG42753	2R	19635279	19635941	1	protein_coding
FBgn0087021	Spc25	3R	12961745	12963249	1	protein_coding
FBgn0263744	CR43669	2L	16699921	16700825	-1	pseudogene
FBgn0267214	lncRNA:CR45654	3R	25845678	25846318	1	ncRNA
FBgn0036498	CG13455	3L	15496574	15498055	1	protein_coding
FBgn0038960	CG13855	3R	22405939	22408640	1	protein_coding
FBgn0029503	CHORD	3R	24186359	24187785	1	protein_coding
FBgn0033550	CG12341	2R	10812157	10813310	-1	protein_coding
FBgn0043578	PGRP-SB1	3L	16727299	16727989	-1	protein_coding
FBgn0263216	CG43386	X	9966615	9977405	-1	protein_coding
FBgn0033184	mEFTu2	2R	7508527	7510357	-1	protein_coding
FBgn0267461	lncRNA:CR45811	3L	1001027	1002195	1	ncRNA
FBgn0264469	asRNA:CR43877	3L	21528546	21529115	1	ncRNA
FBgn0038183	CG9286	3R	13780964	13782082	1	protein_coding
FBgn0030439	CG12716	X	12974683	12976231	-1	protein_coding
FBgn0051575	tRNA:Ala-AGC-2-9	3R	17658381	17658453	-1	tRNA
FBgn0035476	CG12766	3L	3938624	3940125	-1	protein_coding
FBgn0053395	5SrRNA:CR33395	2R	19750620	19750754	-1	rRNA
FBgn0051251	CG31251	3R	17683740	17684915	-1	protein_coding
FBgn0039145	CG6000	3R	24054391	24055092	1	protein_coding
FBgn0030323	Vlet	X	11677344	11678589	-1	protein_coding
FBgn0037506	Mics1	3R	7500951	7502376	-1	protein_coding
FBgn0040389	mRpL14	X	2343997	2344649	-1	protein_coding
FBgn0033526	Caf1-105	2R	10466001	10468540	-1	protein_coding
FBgn0039743	CG7946	3R	30052514	30054697	1	protein_coding
FBgn0263399	CG43445	3R	17911376	17912045	1	protein_coding
FBgn0030710	CG8924	X	15941077	15944449	1	protein_coding
FBgn0034735	CG4610	2R	22492197	22494295	1	protein_coding
FBgn0267765	asRNA:CR46096	3R	24815759	24817131	1	ncRNA
FBgn0036640	nxf2	3L	16576859	16580306	-1	protein_coding
FBgn0259745	wech	2R	7478853	7489823	-1	protein_coding
FBgn0024814	Clc	3L	20241053	20243735	1	protein_coding
FBgn0028950	CG15255	2L	15610171	15611719	-1	protein_coding
FBgn0036790	AstC-R1	3L	18560258	18576326	1	protein_coding
FBgn0086074	snoRNA:Me18S-A1806	3L	7639717	7639794	1	snoRNA
FBgn0084049	CR41440	2R	4731514	4732343	1	pseudogene
FBgn0031659	CG14043	2L	4971702	4973687	1	protein_coding
FBgn0053447	5SrRNA:CR33447	2R	19731409	19731543	-1	rRNA
FBgn0053557	CG33557	X	10009210	10010049	1	protein_coding
FBgn0261560	Thor	2L	3478434	3479612	1	protein_coding
FBgn0028941	CG16853	2L	13542268	13543633	1	protein_coding
FBgn0031715	tomb	2L	5535861	5536758	-1	protein_coding
FBgn0027509	TBCD	2L	2147518	2151664	1	protein_coding
FBgn0032775	CG17544	2L	19390370	19398493	-1	protein_coding
FBgn0038011	CG4066	3R	12311353	12313119	1	protein_coding
FBgn0053317	CR33317	2L	20901134	20901524	1	pseudogene
FBgn0003525	stg	3R	29251826	29255800	-1	protein_coding
FBgn0259851	Su(Ste):CR42420	Y	904859	905678	-1	ncRNA
FBgn0038195	CG3061	3R	14032371	14035041	1	protein_coding
FBgn0261341	verm	3L	19690033	19695260	-1	protein_coding
FBgn0030960	Atg101	X	18791668	18793517	1	protein_coding
FBgn0028292	ric8a	X	9256168	9259202	1	protein_coding
FBgn0275434	asRNA:CR46266	3L	13840611	13842198	1	ncRNA
FBgn0086044	snoRNA:Me28S-U1688	X	9929889	9930006	-1	snoRNA
FBgn0039009	CG13842	3R	22704254	22707278	-1	protein_coding
FBgn0035631	Txl	3L	5765846	5767084	1	protein_coding
FBgn0036474	Or71a	3L	15076907	15078447	-1	protein_coding
FBgn0085366	CG34337	X	7417253	7417693	1	protein_coding
FBgn0030340	CG15740	X	11842662	11846099	-1	protein_coding
FBgn0038009	CG17738	3R	12270890	12271300	1	protein_coding
FBgn0083015	snoRNA:Psi18S-920	3L	11822984	11823124	1	snoRNA
FBgn0015546	spel1	2L	14362069	14366840	1	protein_coding
FBgn0000566	Eip55E	2R	18627918	18629395	1	protein_coding
FBgn0262237	mir-2491	X	22833440	22833583	-1	pre_miRNA
FBgn0031189	CG14618	X	22473698	22474998	1	protein_coding
FBgn0016059	Sema1b	2R	17672839	17683499	-1	protein_coding
FBgn0023170	RpL39	2R	24061853	24062431	-1	protein_coding
FBgn0040290	RecQ4	3L	8170640	8175978	-1	protein_coding
FBgn0085831	CR42201	Y	3024149	3024385	-1	pseudogene
FBgn0266888	lncRNA:CR45349	2L	15280028	15280449	1	ncRNA
FBgn0024329	Mekk1	3R	18733106	18743594	-1	protein_coding
FBgn0264347	lncRNA:CR43803	2L	15960243	15961190	1	ncRNA
FBgn0030992	CG33253	X	19183421	19187278	1	protein_coding
FBgn0267435	chp	3R	31204180	31210730	-1	protein_coding
FBgn0001301	kel	2L	18129884	18138083	-1	protein_coding
FBgn0265369	lncRNA:CR44310	2L	3616296	3617619	1	ncRNA
FBgn0002734	E(spl)mdelta-HLH	3R	25997621	25998633	1	protein_coding
FBgn0034483	CG16894	2R	20211585	20212619	-1	protein_coding
FBgn0032375	CG14932	2L	11789919	11791011	1	protein_coding
FBgn0266748	lncRNA:CR45221	3R	16991978	16992976	1	ncRNA
FBgn0266804	lncRNA:CR45266	2R	12777324	12778995	1	ncRNA
FBgn0032391	escl	2L	11990927	11992848	1	protein_coding
FBgn0085523	Su(Ste):CR40820	Y	953256	954313	-1	ncRNA
FBgn0260234	Xport-B	3R	19914320	19915412	-1	protein_coding
FBgn0023550	FarO	X	2201820	2203866	-1	protein_coding
FBgn0265840	lncRNA:CR44629	2R	20014495	20014695	1	ncRNA
FBgn0284416	lncRNA:TS9	2L	12774054	12775252	-1	ncRNA
FBgn0013342	nSyb	3L	1630348	1637752	-1	protein_coding
FBgn0026149	BCL7-like	X	9356634	9358594	1	protein_coding
FBgn0002629	E(spl)m4-BFM	3R	26023821	26024579	-1	protein_coding
FBgn0261639	CR42722	3L	24546138	24546986	1	pseudogene
FBgn0002645	Map205	3R	32055279	32068441	-1	protein_coding
FBgn0029891	Pink1	X	6683798	6687302	1	protein_coding
FBgn0010217	ATPsynbeta	4	1031484	1034917	1	protein_coding
FBgn0037590	Or85b	3R	8510077	8511358	-1	protein_coding
FBgn0051806	CG31806	2L	16984978	16985634	1	protein_coding
FBgn0011020	Sas-4	3R	7151367	7154219	1	protein_coding
FBgn0265413	CG44325	X	9070318	9078499	-1	protein_coding
FBgn0267717	asRNA:CR46050	3L	11229029	11229437	-1	ncRNA
FBgn0038944	CG5388	3R	22334257	22340307	-1	protein_coding
FBgn0083035	snoRNA:Psi18S-525d	2L	20419145	20419281	1	snoRNA
FBgn0034314	nopo	2R	18180496	18182519	1	protein_coding
FBgn0037936	CG6908	3R	11688381	11690051	-1	protein_coding
FBgn0034821	CG9876	2R	23090100	23094266	-1	protein_coding
FBgn0037834	Art1	3R	10786481	10788226	-1	protein_coding
FBgn0085391	trv	3R	28026615	28090740	1	protein_coding
FBgn0028889	tRNA:Leu-TAA-3-1	2L	15132306	15132389	-1	tRNA
FBgn0033692	wash	2R	12180493	12182373	1	protein_coding
FBgn0267141	lncRNA:CR45581	3R	11486788	11487227	1	ncRNA
FBgn0265658	lncRNA:CR44465	2R	16810595	16811095	1	ncRNA
FBgn0031872	ihog	2L	6945464	6948808	-1	protein_coding
FBgn0032768	CG17564	2L	19298345	19299933	-1	protein_coding
FBgn0086066	snoRNA:Me5.8S-G74	3L	829922	829992	-1	snoRNA
FBgn0265829	lncRNA:CR44618	2L	10542860	10543522	-1	ncRNA
FBgn0032682	grnd	2L	18485417	18488021	1	protein_coding
FBgn0054005	CG34005	2R	18048108	18048909	1	protein_coding
FBgn0267110	lncRNA:CR45550	3R	8228008	8229448	1	ncRNA
FBgn0015222	Fer1HCH	3R	30385573	30388178	-1	protein_coding
FBgn0052183	Ccn	3L	17690015	17748839	1	protein_coding
FBgn0035207	Herc4	3L	1313696	1318330	1	protein_coding
FBgn0267648	pre-mod(mdg4)-G	3R	21354445	21359768	-1	protein_coding
FBgn0266084	Fhos	3L	8753619	8798719	1	protein_coding
FBgn0045759	bin	3L	6990622	6994447	1	protein_coding
FBgn0037174	CG14457	3L	22669956	22680034	1	protein_coding
FBgn0267910	lncRNA:CR34335	X	3545750	3546110	-1	ncRNA
FBgn0030314	CG11696	X	11573731	11576152	1	protein_coding
FBgn0036099	CG11811	3L	10691024	10692598	1	protein_coding
FBgn0267612	lncRNA:CR45950	3R	24439867	24440510	-1	ncRNA
FBgn0030538	betaNACtes1	X	14171487	14172624	-1	protein_coding
FBgn0086063	snoRNA:Me28S-C788a	3L	827312	827383	-1	snoRNA
FBgn0034722	Rtf1	2R	22375090	22378484	1	protein_coding
FBgn0030966	Suox	X	18846389	18848566	-1	protein_coding
FBgn0053203	CG33203	3R	28870606	28887709	-1	protein_coding
FBgn0050234	tRNA:Leu-AAG-1-2	2R	17143965	17144046	-1	tRNA
FBgn0037831	Cap-H2	3R	10761310	10766756	1	protein_coding
FBgn0029133	REG	X	13212325	13214408	1	protein_coding
FBgn0262893	CG43248	3L	15530085	15531473	-1	protein_coding
FBgn0035247	metl	3L	1637942	1639235	-1	protein_coding
FBgn0052409	CG32409	3L	5899528	5900936	1	protein_coding
FBgn0010213	Sod2	2R	16772785	16773915	-1	protein_coding
FBgn0267951	lncRNA:CR46231	3L	10797626	10798408	1	ncRNA
FBgn0039485	CG17189	3R	27101406	27102917	1	protein_coding
FBgn0032692	CG15161	2L	18614339	18616106	-1	protein_coding
FBgn0028686	Rpt3	X	11125101	11126785	1	protein_coding
FBgn0038819	Cpr92F	3R	20669571	20672821	1	protein_coding
FBgn0265498	asRNA:CR44367	2R	13854659	13855894	1	ncRNA
FBgn0030540	CG11581	X	14176923	14178456	1	protein_coding
FBgn0037662	CG11997	3R	9177517	9179098	1	protein_coding
FBgn0002021	l(2)37Bb	2L	19049843	19051612	-1	protein_coding
FBgn0032225	CG5022	2L	10344442	10347706	1	protein_coding
FBgn0030744	CG9992	X	16381954	16384908	-1	protein_coding
FBgn0267422	CR45775	Y	3340824	3341546	1	pseudogene
FBgn0037708	CG9386	3R	9553696	9555408	-1	protein_coding
FBgn0264901	lncRNA:CR44092	3R	24231186	24231719	1	ncRNA
FBgn0035524	CG11583	3L	4281504	4282817	-1	protein_coding
FBgn0038511	cysu	3R	17425768	17446499	1	protein_coding
FBgn0083037	snoRNA:Psi18S-525b	2L	20418670	20418804	1	snoRNA
FBgn0015245	Hsp60A	X	11108482	11112308	1	protein_coding
FBgn0065092	snmRNA:438	3L	434855	434918	-1	ncRNA
FBgn0031858	CG17378	2L	6774041	6778444	1	protein_coding
FBgn0038114	CG11670	3R	13042050	13044086	1	protein_coding
FBgn0028669	Vha100-3	2R	18908961	18911895	-1	protein_coding
FBgn0266946	asRNA:CR45397	3L	15143801	15144170	1	ncRNA
FBgn0264776	CG44014	3R	15507940	15508886	-1	protein_coding
FBgn0030613	Rab3-GEF	X	15089682	15113762	1	protein_coding
FBgn0004511	dy	X	11769769	11778784	-1	protein_coding
FBgn0033192	Corin	2R	7540111	7564435	1	protein_coding
FBgn0036859	CG14085	3L	19269351	19274168	1	protein_coding
FBgn0259189	Ir7e	X	7879800	7881679	-1	protein_coding
FBgn0002936	ninaA	2L	877302	878270	1	protein_coding
FBgn0260954	CG42586	2L	14741161	14741840	-1	protein_coding
FBgn0034274	CG10931	2R	17748935	17750136	1	protein_coding
FBgn0035643	CG13287	3L	5882304	5884090	1	protein_coding
FBgn0036273	INPP5E	3L	12277655	12281476	1	protein_coding
FBgn0265701	lncRNA:CR44508	X	8707974	8708184	1	ncRNA
FBgn0031109	Obp19a	X	20415744	20416521	1	protein_coding
FBgn0035005	CG3483	2R	24445500	24446839	1	protein_coding
FBgn0027582	CG6230	2L	11115635	11120319	-1	protein_coding
FBgn0267536	lncRNA:CR45876	3L	9991736	9992583	1	ncRNA
